Name,Age,Height (m),Weight (kg),Runs,Country,Club,DOB
Hardik Root,32,1.72,63,6045,Sri Lanka,Rajasthan Royals,1993-10-13
David Roy,31,2.02,81,11388,England,Chennai Super Kings,1994-05-11
Rishabh Boult,25,1.72,64,10906,Afghanistan,Chennai Super Kings,2000-12-09
Ben Smith,25,1.97,89,4458,Afghanistan,Kolkata Knight Riders,2000-12-22
Rohit Stokes,22,1.72,92,1974,Bangladesh,Punjab Kings,2003-11-23
Kane Pandya,24,1.99,93,10483,South Africa,Mumbai Indians,2001-05-17
Kane Cummins,33,1.97,79,5358,West Indies,Mumbai Indians,1992-09-07
Ben Williamson,21,1.81,62,1623,India,Rajasthan Royals,2004-04-03
Trent Pandya,39,1.73,89,4271,New Zealand,Punjab Kings,1986-03-08
Jos duPlessis,20,1.98,81,3977,Bangladesh,Kolkata Knight Riders,2005-06-18
Jos Marsh,35,1.73,67,6858,Sri Lanka,Sunrisers Hyderabad,1990-06-24
Pat Roy,28,1.74,95,7893,India,Delhi Capitals,1997-12-09
Rishabh Azam,36,1.69,88,7851,Bangladesh,Mumbai Indians,1989-02-25
Quinton Finch,19,1.7,63,3905,New Zealand,Mumbai Indians,2006-01-15
Quinton Stokes,24,1.89,91,2873,Australia,Chennai Super Kings,2001-04-01
David Stokes,20,1.81,60,10507,West Indies,Sunrisers Hyderabad,2005-01-05
Virat Azam,20,1.87,61,3105,Pakistan,Punjab Kings,2005-10-17
Jos Roy,26,2.01,80,10201,Pakistan,Chennai Super Kings,1999-05-27
Aaron Marsh,36,1.98,95,6859,Bangladesh,Rajasthan Royals,1989-03-15
KL Pant,19,1.66,68,1742,New Zealand,Kolkata Knight Riders,2006-06-22
Hardik Roy,18,1.81,67,8329,Sri Lanka,Punjab Kings,2007-06-21
Trent Kohli,39,2.02,89,1915,South Africa,Kolkata Knight Riders,1986-04-18
David Finch,32,1.99,67,7398,West Indies,Sunrisers Hyderabad,1993-09-20
Kane deKock,35,1.93,69,713,Australia,Rajasthan Royals,1990-03-13
Ben Root,24,1.79,83,2516,New Zealand,Sunrisers Hyderabad,2001-03-22
Jason Marsh,24,1.84,68,7427,Sri Lanka,Kolkata Knight Riders,2001-05-05
